Test Case: B200_aten-slice
|  M   |  N   | start | end |   _tensor    | step | dim | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|  8   | 8192 |   4   | 32  |  [8, 8192]   |  1   |  0  | bf16  |       88.28       |      87.07       |      89.13       |        4.62        |
| 128  | 8192 |   4   | 32  | [128, 8192]  |  1   |  0  | bf16  |       87.82       |       86.8       |       88.7       |        7.25        |
| 1024 | 8192 |   4   | 32  | [1024, 8192] |  1   |  0  | bf16  |       87.81       |      87.38       |       88.3       |       12.49        |
| 4096 | 8192 |   4   | 32  | [4096, 8192] |  1   |  0  | bf16  |       88.36       |       87.0       |      88.96       |        4.62        |
|  1   |  32  |   0   | -1  |   [1, 32]    |  1   |  0  | bf16  |       88.31       |      87.99       |      88.73       |        7.24        |
|  2   |  32  |   0   | -1  |   [2, 32]    |  1   |  0  | bf16  |       87.87       |      86.96       |      88.68       |       12.49        |
|  8   |  32  |   0   | -1  |   [8, 32]    |  1   |  0  | bf16  |       88.6        |      87.39       |      89.17       |       22.98        |
| 128  |  32  |   0   | -1  |  [128, 32]   |  1   |  0  | bf16  |       87.97       |       87.2       |      88.72       |        7.24        |
| 1024 |  32  |   0   | -1  |  [1024, 32]  |  1   |  0  | bf16  |       88.99       |      88.73       |       89.3       |       12.49        |
| 4096 |  32  |   0   | -1  |  [4096, 32]  |  1   |  0  | bf16  |       89.04       |      88.34       |      89.44       |       22.98        |
|  1   | 128  |   0   | -1  |   [1, 128]   |  1   |  0  | bf16  |       88.09       |      87.63       |      88.43       |       43.95        |
|  2   | 128  |   0   | -1  |   [2, 128]   |  1   |  0  | bf16  |       88.28       |       87.1       |      88.96       |       12.49        |
|  8   | 128  |   0   | -1  |   [8, 128]   |  1   |  0  | bf16  |       88.11       |      87.37       |      88.78       |       22.97        |
| 128  | 128  |   0   | -1  |  [128, 128]  |  1   |  0  | bf16  |       88.72       |      87.89       |      89.96       |       43.95        |
| 1024 | 128  |   0   | -1  | [1024, 128]  |  1   |  0  | bf16  |       88.84       |       87.8       |      89.41       |       85.89        |
| 4096 | 128  |   0   | -1  | [4096, 128]  |  1   |  0  | bf16  |       89.24       |       88.7       |      89.87       |       22.97        |
|  1   | 1024 |   0   | -1  |  [1, 1024]   |  1   |  0  | bf16  |       88.09       |      87.01       |      89.08       |       43.94        |
|  2   | 1024 |   0   | -1  |  [2, 1024]   |  1   |  0  | bf16  |       88.1        |      87.14       |      89.07       |       85.89        |
|  8   | 1024 |   0   | -1  |  [8, 1024]   |  1   |  0  | bf16  |       88.65       |      88.19       |      89.35       |       169.78       |
| 128  | 1024 |   0   | -1  | [128, 1024]  |  1   |  0  | bf16  |       88.18       |      87.49       |      89.12       |       43.94        |
| 1024 | 1024 |   0   | -1  | [1024, 1024] |  1   |  0  | bf16  |       88.57       |       87.8       |      89.07       |       85.89        |
| 4096 | 1024 |   0   | -1  | [4096, 1024] |  1   |  0  | bf16  |       87.96       |      87.66       |      88.34       |       169.78       |
|  1   | 8192 |   0   | -1  |  [1, 8192]   |  1   |  0  | bf16  |       88.33       |      87.83       |      88.77       |       337.55       |
|  2   | 8192 |   0   | -1  |  [2, 8192]   |  1   |  0  | bf16  |       88.38       |      87.73       |      88.94       |        2.49        |
|  8   | 8192 |   0   | -1  |  [8, 8192]   |  1   |  0  | bf16  |       88.68       |      87.48       |      89.46       |        2.99        |
| 128  | 8192 |   0   | -1  | [128, 8192]  |  1   |  0  | bf16  |       88.85       |      87.68       |      89.82       |        3.97        |
| 1024 | 8192 |   0   | -1  | [1024, 8192] |  1   |  0  | bf16  |       88.97       |      87.98       |      89.88       |        5.94        |
| 4096 | 8192 |   0   | -1  | [4096, 8192] |  1   |  0  | bf16  |       88.33       |      87.68       |      89.25       |        2.98        |
|  1   |  32  |   1   | -1  |   [1, 32]    |  1   |  0  | bf16  |       88.63       |       88.0       |       89.8       |        3.97        |
|  2   |  32  |   1   | -1  |   [2, 32]    |  1   |  0  | bf16  |       88.54       |      87.56       |      89.51       |        5.94        |
|  8   |  32  |   1   | -1  |   [8, 32]    |  1   |  0  | bf16  |       88.72       |      87.73       |      89.86       |        9.88        |
| 128  |  32  |   1   | -1  |  [128, 32]   |  1   |  0  | bf16  |       88.48       |      88.03       |      89.05       |        3.97        |
| 1024 |  32  |   1   | -1  |  [1024, 32]  |  1   |  0  | bf16  |       89.12       |      88.04       |      89.82       |        5.94        |
| 4096 |  32  |   1   | -1  |  [4096, 32]  |  1   |  0  | bf16  |       88.46       |      87.87       |      89.49       |        9.87        |
|  1   | 128  |   1   | -1  |   [1, 128]   |  1   |  0  | bf16  |       88.85       |      87.84       |      89.72       |       17.74        |
|  2   | 128  |   1   | -1  |   [2, 128]   |  1   |  0  | bf16  |       88.88       |      88.05       |      89.49       |        5.93        |
|  8   | 128  |   1   | -1  |   [8, 128]   |  1   |  0  | bf16  |       88.73       |       88.0       |      89.31       |        9.87        |
| 128  | 128  |   1   | -1  |  [128, 128]  |  1   |  0  | bf16  |       88.45       |      87.82       |      88.96       |       17.73        |
| 1024 | 128  |   1   | -1  | [1024, 128]  |  1   |  0  | bf16  |       88.64       |      87.68       |      89.23       |       33.47        |
| 4096 | 128  |   1   | -1  | [4096, 128]  |  1   |  0  | bf16  |       88.55       |      87.96       |      89.06       |        9.87        |
|  1   | 1024 |   1   | -1  |  [1, 1024]   |  1   |  0  | bf16  |       88.79       |      88.11       |      89.37       |       17.73        |
|  2   | 1024 |   1   | -1  |  [2, 1024]   |  1   |  0  | bf16  |       88.34       |      87.75       |      89.11       |       33.46        |
|  8   | 1024 |   1   | -1  |  [8, 1024]   |  1   |  0  | bf16  |       89.14       |      87.87       |      89.91       |       64.93        |
| 128  | 1024 |   1   | -1  | [128, 1024]  |  1   |  0  | bf16  |       89.15       |      88.42       |      89.61       |       17.73        |
| 1024 | 1024 |   1   | -1  | [1024, 1024] |  1   |  0  | bf16  |       88.37       |      88.05       |      88.77       |       33.46        |
| 4096 | 1024 |   1   | -1  | [4096, 1024] |  1   |  0  | bf16  |       88.72       |      87.98       |       89.4       |       64.92        |
|  1   | 8192 |   1   | -1  |  [1, 8192]   |  1   |  0  | bf16  |       88.39       |      87.55       |      88.97       |       127.84       |
|  2   | 8192 |   1   | -1  |  [2, 8192]   |  1   |  0  | bf16  |       87.68       |      87.12       |      88.55       |        3.97        |
|  8   | 8192 |   1   | -1  |  [8, 8192]   |  1   |  0  | bf16  |       87.92       |      86.79       |      88.63       |        5.94        |
| 128  | 8192 |   1   | -1  | [128, 8192]  |  1   |  0  | bf16  |       87.71       |      86.88       |      88.39       |        9.87        |
| 1024 | 8192 |   1   | -1  | [1024, 8192] |  1   |  0  | bf16  |       88.41       |      87.88       |      88.75       |       17.74        |
| 4096 | 8192 |   1   | -1  | [4096, 8192] |  1   |  0  | bf16  |       88.23       |      87.22       |      88.89       |        5.93        |
|  1   |  32  |   4   | -1  |   [1, 32]    |  1   |  0  | bf16  |       88.29       |       87.8       |      88.97       |        9.87        |
|  2   |  32  |   4   | -1  |   [2, 32]    |  1   |  0  | bf16  |       87.67       |      86.94       |       88.4       |       17.73        |
|  8   |  32  |   4   | -1  |   [8, 32]    |  1   |  0  | bf16  |       87.9        |      87.67       |      88.27       |       33.47        |
| 128  |  32  |   4   | -1  |  [128, 32]   |  1   |  0  | bf16  |       88.0        |      87.31       |      88.56       |        9.87        |
| 1024 |  32  |   4   | -1  |  [1024, 32]  |  1   |  0  | bf16  |       87.55       |      87.05       |      87.96       |       17.73        |
| 4096 |  32  |   4   | -1  |  [4096, 32]  |  1   |  0  | bf16  |       88.4        |      87.98       |      89.03       |       33.46        |
|  1   | 128  |   4   | -1  |   [1, 128]   |  1   |  0  | bf16  |       87.89       |       87.0       |       88.5       |       64.93        |
|  2   | 128  |   4   | -1  |   [2, 128]   |  1   |  0  | bf16  |       88.38       |      87.54       |      88.94       |       17.73        |
|  8   | 128  |   4   | -1  |   [8, 128]   |  1   |  0  | bf16  |       88.06       |      87.41       |      88.43       |       33.46        |
| 128  | 128  |   4   | -1  |  [128, 128]  |  1   |  0  | bf16  |       88.18       |      87.71       |      88.92       |       64.92        |
| 1024 | 128  |   4   | -1  | [1024, 128]  |  1   |  0  | bf16  |       88.3        |      87.38       |      88.87       |       127.84       |
| 4096 | 128  |   4   | -1  | [4096, 128]  |  1   |  0  | bf16  |       87.99       |      87.52       |      88.38       |       33.46        |
|  1   | 1024 |   4   | -1  |  [1, 1024]   |  1   |  0  | bf16  |       87.94       |      86.77       |      88.59       |       64.92        |
|  2   | 1024 |   4   | -1  |  [2, 1024]   |  1   |  0  | bf16  |       88.01       |       86.9       |      88.64       |       127.83       |
|  8   | 1024 |   4   | -1  |  [8, 1024]   |  1   |  0  | bf16  |       87.68       |      86.89       |      88.29       |       253.67       |
| 128  | 1024 |   4   | -1  | [128, 1024]  |  1   |  0  | bf16  |       88.1        |      87.56       |       88.7       |       64.92        |
| 1024 | 1024 |   4   | -1  | [1024, 1024] |  1   |  0  | bf16  |       88.45       |      87.19       |      89.06       |       127.83       |
| 4096 | 1024 |   4   | -1  | [4096, 1024] |  1   |  0  | bf16  |       88.77       |       87.9       |      89.35       |       253.66       |
|  1   | 8192 |   4   | -1  |  [1, 8192]   |  1   |  0  | bf16  |       87.68       |      86.61       |      88.59       |       505.33       |
|  2   | 8192 |   4   | -1  |  [2, 8192]   |  1   |  0  | bf16  |       88.71       |      87.96       |       89.3       |        2.66        |
|  8   | 8192 |   4   | -1  |  [8, 8192]   |  1   |  0  | bf16  |       88.31       |      88.04       |      88.61       |        3.32        |
| 128  | 8192 |   4   | -1  | [128, 8192]  |  1   |  0  | bf16  |       88.22       |      87.64       |      88.63       |        4.64        |
| 1024 | 8192 |   4   | -1  | [1024, 8192] |  1   |  0  | bf16  |       88.46       |      87.85       |      89.03       |        7.28        |
| 4096 | 8192 |   4   | -1  | [4096, 8192] |  1   |  0  | bf16  |       87.96       |      87.51       |       88.5       |        3.32        |
|  1   |  32  |   0   |  8  |   [1, 32]    |  1   |  1  | bf16  |       88.53       |      87.85       |      89.26       |        4.64        |
|  2   |  32  |   0   |  8  |   [2, 32]    |  1   |  1  | bf16  |       88.25       |      87.62       |      88.81       |        7.27        |
|  8   |  32  |   0   |  8  |   [8, 32]    |  1   |  1  | bf16  |       87.92       |      87.31       |      88.45       |       12.54        |
| 128  |  32  |   0   |  8  |  [128, 32]   |  1   |  1  | bf16  |       88.5        |      88.02       |      89.54       |        4.63        |
| 1024 |  32  |   0   |  8  |  [1024, 32]  |  1   |  1  | bf16  |       88.52       |      87.99       |      88.93       |        7.27        |
| 4096 |  32  |   0   |  8  |  [4096, 32]  |  1   |  1  | bf16  |       88.54       |      87.69       |      89.48       |       12.53        |
|  1   | 128  |   0   |  8  |   [1, 128]   |  1   |  1  | bf16  |       88.79       |      88.01       |      89.43       |       23.07        |
|  2   | 128  |   0   |  8  |   [2, 128]   |  1   |  1  | bf16  |       88.83       |      88.37       |      89.78       |        7.27        |
|  8   | 128  |   0   |  8  |   [8, 128]   |  1   |  1  | bf16  |       89.05       |      88.51       |       89.7       |       12.53        |
| 128  | 128  |   0   |  8  |  [128, 128]  |  1   |  1  | bf16  |       89.5        |      88.59       |      90.42       |       23.06        |
| 1024 | 128  |   0   |  8  | [1024, 128]  |  1   |  1  | bf16  |       89.63       |      88.83       |      90.19       |       44.12        |
| 4096 | 128  |   0   |  8  | [4096, 128]  |  1   |  1  | bf16  |       87.65       |      87.23       |      88.04       |       12.53        |
|  1   | 1024 |   0   |  8  |  [1, 1024]   |  1   |  1  | bf16  |       88.28       |       87.5       |      88.76       |       23.06        |
|  2   | 1024 |   0   |  8  |  [2, 1024]   |  1   |  1  | bf16  |       87.85       |      87.36       |      88.35       |       44.11        |
|  8   | 1024 |   0   |  8  |  [8, 1024]   |  1   |  1  | bf16  |       87.94       |      87.17       |      88.97       |       86.23        |
| 128  | 1024 |   0   |  8  | [128, 1024]  |  1   |  1  | bf16  |       88.62       |      88.23       |      88.99       |       23.06        |
| 1024 | 1024 |   0   |  8  | [1024, 1024] |  1   |  1  | bf16  |       87.73       |      87.19       |      88.55       |       44.11        |
| 4096 | 1024 |   0   |  8  | [4096, 1024] |  1   |  1  | bf16  |       88.04       |      87.64       |       88.4       |       86.22        |
|  1   | 8192 |   0   |  8  |  [1, 8192]   |  1   |  1  | bf16  |       88.02       |      87.48       |      88.62       |       170.44       |
|  2   | 8192 |   0   |  8  |  [2, 8192]   |  1   |  1  | bf16  |       87.98       |      87.35       |      88.73       |        4.63        |
|  8   | 8192 |   0   |  8  |  [8, 8192]   |  1   |  1  | bf16  |       88.4        |      87.89       |      88.73       |        7.27        |
| 128  | 8192 |   0   |  8  | [128, 8192]  |  1   |  1  | bf16  |       87.64       |      87.07       |      87.92       |       12.53        |
| 1024 | 8192 |   0   |  8  | [1024, 8192] |  1   |  1  | bf16  |       88.65       |      87.95       |      89.26       |       23.07        |
| 4096 | 8192 |   0   |  8  | [4096, 8192] |  1   |  1  | bf16  |       88.76       |      87.58       |      89.88       |        7.27        |
|  1   |  32  |   1   |  8  |   [1, 32]    |  1   |  1  | bf16  |       89.14       |      88.35       |      90.03       |       12.53        |
|  2   |  32  |   1   |  8  |   [2, 32]    |  1   |  1  | bf16  |       88.76       |      87.81       |      89.75       |       23.06        |
|  8   |  32  |   1   |  8  |   [8, 32]    |  1   |  1  | bf16  |       89.37       |      88.31       |      90.08       |       44.12        |
| 128  |  32  |   1   |  8  |  [128, 32]   |  1   |  1  | bf16  |       88.72       |      87.69       |      89.65       |       12.53        |
| 1024 |  32  |   1   |  8  |  [1024, 32]  |  1   |  1  | bf16  |       88.86       |      88.16       |      89.82       |       23.06        |
| 4096 |  32  |   1   |  8  |  [4096, 32]  |  1   |  1  | bf16  |       88.57       |      87.62       |      89.48       |       44.11        |
|  1   | 128  |   1   |  8  |   [1, 128]   |  1   |  1  | bf16  |       88.73       |      87.88       |      89.72       |       86.23        |
|  2   | 128  |   1   |  8  |   [2, 128]   |  1   |  1  | bf16  |       88.29       |      87.81       |      88.87       |       23.06        |
|  8   | 128  |   1   |  8  |   [8, 128]   |  1   |  1  | bf16  |       88.81       |      88.58       |      89.09       |       44.11        |
| 128  | 128  |   1   |  8  |  [128, 128]  |  1   |  1  | bf16  |       88.51       |      87.37       |      89.07       |       86.22        |
| 1024 | 128  |   1   |  8  | [1024, 128]  |  1   |  1  | bf16  |       88.79       |      87.61       |      89.57       |       170.44       |
| 4096 | 128  |   1   |  8  | [4096, 128]  |  1   |  1  | bf16  |       88.85       |      88.23       |      89.87       |       44.11        |
|  1   | 1024 |   1   |  8  |  [1, 1024]   |  1   |  1  | bf16  |       87.95       |      87.43       |      88.79       |       86.22        |
|  2   | 1024 |   1   |  8  |  [2, 1024]   |  1   |  1  | bf16  |       88.66       |      88.19       |      88.95       |       170.44       |
|  8   | 1024 |   1   |  8  |  [8, 1024]   |  1   |  1  | bf16  |       88.44       |      87.96       |      89.04       |       338.87       |
| 128  | 1024 |   1   |  8  | [128, 1024]  |  1   |  1  | bf16  |       88.96       |      87.19       |      90.39       |       86.22        |
| 1024 | 1024 |   1   |  8  | [1024, 1024] |  1   |  1  | bf16  |       89.22       |      88.37       |      90.09       |       170.43       |
| 4096 | 1024 |   1   |  8  | [4096, 1024] |  1   |  1  | bf16  |       88.66       |      88.28       |      89.35       |       338.86       |
|  1   | 8192 |   1   |  8  |  [1, 8192]   |  1   |  1  | bf16  |       90.05       |       88.5       |      91.65       |       675.73       |
|  2   | 8192 |   1   |  8  |  [2, 8192]   |  1   |  1  | bf16  |       88.78       |      88.01       |      89.61       |        2.33        |
|  8   | 8192 |   1   |  8  |  [8, 8192]   |  1   |  1  | bf16  |       89.57       |       89.0       |      90.05       |        2.66        |
| 128  | 8192 |   1   |  8  | [128, 8192]  |  1   |  1  | bf16  |       88.7        |      87.65       |      89.34       |        3.32        |
| 1024 | 8192 |   1   |  8  | [1024, 8192] |  1   |  1  | bf16  |       89.09       |      88.08       |       89.7       |        4.64        |
| 4096 | 8192 |   1   |  8  | [4096, 8192] |  1   |  1  | bf16  |       89.1        |      88.43       |      89.69       |        2.66        |
|  1   |  32  |   4   |  8  |   [1, 32]    |  1   |  1  | bf16  |       89.01       |      88.09       |      89.79       |        3.31        |
|  2   |  32  |   4   |  8  |   [2, 32]    |  1   |  1  | bf16  |       88.85       |      88.33       |      89.33       |        4.63        |
|  8   |  32  |   4   |  8  |   [8, 32]    |  1   |  1  | bf16  |       88.91       |      87.91       |       90.2       |        7.26        |
| 128  |  32  |   4   |  8  |  [128, 32]   |  1   |  1  | bf16  |       89.26       |      87.85       |      90.19       |        3.31        |
| 1024 |  32  |   4   |  8  |  [1024, 32]  |  1   |  1  | bf16  |       89.12       |      88.44       |      89.88       |        4.63        |
| 4096 |  32  |   4   |  8  |  [4096, 32]  |  1   |  1  | bf16  |       89.15       |       88.7       |      89.71       |        7.25        |
|  1   | 128  |   4   |  8  |   [1, 128]   |  1   |  1  | bf16  |       88.98       |       87.7       |      89.69       |        12.5        |
|  2   | 128  |   4   |  8  |   [2, 128]   |  1   |  1  | bf16  |       89.36       |      89.09       |      89.73       |        4.62        |
|  8   | 128  |   4   |  8  |   [8, 128]   |  1   |  1  | bf16  |       89.86       |      89.31       |      90.48       |        7.25        |
| 128  | 128  |   4   |  8  |  [128, 128]  |  1   |  1  | bf16  |       89.63       |       89.1       |      89.83       |       12.49        |
| 1024 | 128  |   4   |  8  | [1024, 128]  |  1   |  1  | bf16  |       89.63       |      88.89       |      90.38       |       22.99        |
| 4096 | 128  |   4   |  8  | [4096, 128]  |  1   |  1  | bf16  |       89.92       |      89.01       |      91.94       |        7.24        |
|  1   | 1024 |   4   |  8  |  [1, 1024]   |  1   |  1  | bf16  |       89.75       |      88.57       |       90.4       |       12.49        |
|  2   | 1024 |   4   |  8  |  [2, 1024]   |  1   |  1  | bf16  |       89.82       |      89.37       |      90.24       |       22.98        |
|  8   | 1024 |   4   |  8  |  [8, 1024]   |  1   |  1  | bf16  |       88.95       |       88.2       |      89.92       |       43.96        |
| 128  | 1024 |   4   |  8  | [128, 1024]  |  1   |  1  | bf16  |       89.98       |      89.31       |      90.16       |       12.49        |
| 1024 | 1024 |   4   |  8  | [1024, 1024] |  1   |  1  | bf16  |       89.6        |      88.45       |      90.33       |       22.98        |
| 4096 | 1024 |   4   |  8  | [4096, 1024] |  1   |  1  | bf16  |       89.56       |      88.94       |      90.44       |       43.95        |
|  1   | 8192 |   4   |  8  |  [1, 8192]   |  1   |  1  | bf16  |       89.98       |      89.15       |      90.69       |        85.9        |
|  2   | 8192 |   4   |  8  |  [2, 8192]   |  1   |  1  | bf16  |       89.77       |      88.16       |      90.83       |        3.31        |
|  8   | 8192 |   4   |  8  |  [8, 8192]   |  1   |  1  | bf16  |       89.81       |      89.24       |      90.18       |        4.63        |
| 128  | 8192 |   4   |  8  | [128, 8192]  |  1   |  1  | bf16  |       89.55       |      88.24       |      90.47       |        7.25        |
| 1024 | 8192 |   4   |  8  | [1024, 8192] |  1   |  1  | bf16  |       88.61       |      87.55       |      89.55       |        12.5        |
| 4096 | 8192 |   4   |  8  | [4096, 8192] |  1   |  1  | bf16  |       89.06       |      88.32       |      89.68       |        4.62        |
|  1   |  32  |   0   | 16  |   [1, 32]    |  1   |  1  | bf16  |       88.78       |      88.08       |      89.41       |        7.25        |
|  2   |  32  |   0   | 16  |   [2, 32]    |  1   |  1  | bf16  |       89.34       |       88.8       |      90.53       |       12.49        |
|  8   |  32  |   0   | 16  |   [8, 32]    |  1   |  1  | bf16  |       88.38       |      87.28       |      89.22       |       22.99        |
| 128  |  32  |   0   | 16  |  [128, 32]   |  1   |  1  | bf16  |       88.56       |      88.16       |      88.97       |        7.24        |
| 1024 |  32  |   0   | 16  |  [1024, 32]  |  1   |  1  | bf16  |       88.65       |      87.65       |      89.74       |       12.49        |
| 4096 |  32  |   0   | 16  |  [4096, 32]  |  1   |  1  | bf16  |       88.75       |      88.18       |      89.71       |       22.98        |
|  1   | 128  |   0   | 16  |   [1, 128]   |  1   |  1  | bf16  |       88.63       |      87.91       |      89.45       |       43.96        |
|  2   | 128  |   0   | 16  |   [2, 128]   |  1   |  1  | bf16  |       88.5        |      87.46       |      89.89       |       12.49        |
|  8   | 128  |   0   | 16  |   [8, 128]   |  1   |  1  | bf16  |       88.66       |      87.26       |      89.38       |       22.98        |
| 128  | 128  |   0   | 16  |  [128, 128]  |  1   |  1  | bf16  |       88.94       |      88.62       |      89.24       |       43.95        |
| 1024 | 128  |   0   | 16  | [1024, 128]  |  1   |  1  | bf16  |       88.37       |      88.04       |      88.63       |        85.9        |
| 4096 | 128  |   0   | 16  | [4096, 128]  |  1   |  1  | bf16  |       88.97       |      88.38       |      89.74       |       22.97        |
|  1   | 1024 |   0   | 16  |  [1, 1024]   |  1   |  1  | bf16  |       88.54       |      87.59       |      89.24       |       43.95        |
|  2   | 1024 |   0   | 16  |  [2, 1024]   |  1   |  1  | bf16  |       89.01       |      88.02       |      89.88       |       85.89        |
|  8   | 1024 |   0   | 16  |  [8, 1024]   |  1   |  1  | bf16  |       88.6        |      88.09       |      89.08       |       169.79       |
| 128  | 1024 |   0   | 16  | [128, 1024]  |  1   |  1  | bf16  |       88.53       |      87.71       |      89.13       |       43.94        |
| 1024 | 1024 |   0   | 16  | [1024, 1024] |  1   |  1  | bf16  |       89.29       |      88.83       |      89.74       |       85.89        |
| 4096 | 1024 |   0   | 16  | [4096, 1024] |  1   |  1  | bf16  |       89.08       |      88.32       |      89.47       |       169.78       |
|  1   | 8192 |   0   | 16  |  [1, 8192]   |  1   |  1  | bf16  |       88.42       |      87.47       |      89.98       |       337.56       |
|  2   | 8192 |   0   | 16  |  [2, 8192]   |  1   |  1  | bf16  |       89.11       |       88.2       |      90.22       |        4.62        |
|  8   | 8192 |   0   | 16  |  [8, 8192]   |  1   |  1  | bf16  |       88.43       |      87.48       |       89.0       |        7.25        |
| 128  | 8192 |   0   | 16  | [128, 8192]  |  1   |  1  | bf16  |       89.02       |      87.97       |       90.5       |       12.49        |
| 1024 | 8192 |   0   | 16  | [1024, 8192] |  1   |  1  | bf16  |       89.11       |      87.75       |      89.93       |       22.99        |
| 4096 | 8192 |   0   | 16  | [4096, 8192] |  1   |  1  | bf16  |       89.53       |      88.84       |      90.29       |        7.24        |
|  1   |  32  |   1   | 16  |   [1, 32]    |  1   |  1  | bf16  |       89.59       |      88.88       |       91.0       |       12.49        |
|  2   |  32  |   1   | 16  |   [2, 32]    |  1   |  1  | bf16  |       89.03       |       88.0       |      89.94       |       22.98        |
|  8   |  32  |   1   | 16  |   [8, 32]    |  1   |  1  | bf16  |       89.17       |      88.55       |      89.59       |       43.96        |
| 128  |  32  |   1   | 16  |  [128, 32]   |  1   |  1  | bf16  |       89.03       |      88.34       |      89.68       |       12.49        |
| 1024 |  32  |   1   | 16  |  [1024, 32]  |  1   |  1  | bf16  |       89.77       |      88.86       |      90.14       |       22.98        |
| 4096 |  32  |   1   | 16  |  [4096, 32]  |  1   |  1  | bf16  |       90.22       |       89.0       |      92.27       |       43.95        |
|  1   | 128  |   1   | 16  |   [1, 128]   |  1   |  1  | bf16  |       89.72       |      88.02       |       90.3       |        85.9        |
|  2   | 128  |   1   | 16  |   [2, 128]   |  1   |  1  | bf16  |       89.74       |       89.3       |      90.06       |       22.97        |
|  8   | 128  |   1   | 16  |   [8, 128]   |  1   |  1  | bf16  |       88.95       |      88.32       |      89.96       |       43.95        |
| 128  | 128  |   1   | 16  |  [128, 128]  |  1   |  1  | bf16  |       89.31       |      88.49       |      89.75       |       85.89        |
| 1024 | 128  |   1   | 16  | [1024, 128]  |  1   |  1  | bf16  |       89.54       |      88.36       |      90.12       |       169.79       |
| 4096 | 128  |   1   | 16  | [4096, 128]  |  1   |  1  | bf16  |       90.04       |      89.18       |      91.62       |       43.94        |
|  1   | 1024 |   1   | 16  |  [1, 1024]   |  1   |  1  | bf16  |       89.12       |      88.48       |      89.49       |       85.89        |
|  2   | 1024 |   1   | 16  |  [2, 1024]   |  1   |  1  | bf16  |       89.04       |      88.51       |      90.04       |       169.78       |
|  8   | 1024 |   1   | 16  |  [8, 1024]   |  1   |  1  | bf16  |       88.97       |      87.94       |      90.58       |       337.56       |
| 128  | 1024 |   1   | 16  | [128, 1024]  |  1   |  1  | bf16  |       89.57       |      89.03       |      90.14       |       85.89        |
| 1024 | 1024 |   1   | 16  | [1024, 1024] |  1   |  1  | bf16  |       89.12       |      88.04       |       89.9       |       169.78       |
| 4096 | 1024 |   1   | 16  | [4096, 1024] |  1   |  1  | bf16  |       89.58       |      88.75       |      90.46       |       337.55       |
|  1   | 8192 |   1   | 16  |  [1, 8192]   |  1   |  1  | bf16  |       88.87       |      88.11       |      89.51       |       673.1        |
|  2   | 8192 |   1   | 16  |  [2, 8192]   |  1   |  1  | bf16  |       89.08       |      87.71       |      89.79       |        2.49        |
|  8   | 8192 |   1   | 16  |  [8, 8192]   |  1   |  1  | bf16  |       89.16       |      88.75       |      89.56       |        2.99        |
| 128  | 8192 |   1   | 16  | [128, 8192]  |  1   |  1  | bf16  |       89.43       |      88.14       |      90.51       |        3.98        |
| 1024 | 8192 |   1   | 16  | [1024, 8192] |  1   |  1  | bf16  |       89.35       |      88.45       |      90.05       |        5.96        |
| 4096 | 8192 |   1   | 16  | [4096, 8192] |  1   |  1  | bf16  |       89.65       |      88.65       |      90.55       |        2.99        |
|  1   |  32  |   4   | 16  |   [1, 32]    |  1   |  1  | bf16  |       89.23       |       88.0       |      90.21       |        3.97        |
|  2   |  32  |   4   | 16  |   [2, 32]    |  1   |  1  | bf16  |       88.14       |       87.6       |      89.55       |        5.94        |
|  8   |  32  |   4   | 16  |   [8, 32]    |  1   |  1  | bf16  |       89.26       |      88.79       |      89.61       |        9.89        |
| 128  |  32  |   4   | 16  |  [128, 32]   |  1   |  1  | bf16  |       89.4        |      88.82       |       89.8       |        3.97        |
| 1024 |  32  |   4   | 16  |  [1024, 32]  |  1   |  1  | bf16  |       89.27       |      88.31       |      89.83       |        5.94        |
| 4096 |  32  |   4   | 16  |  [4096, 32]  |  1   |  1  | bf16  |       88.62       |      88.16       |       89.3       |        9.88        |
|  1   | 128  |   4   | 16  |   [1, 128]   |  1   |  1  | bf16  |       88.99       |      87.85       |      89.78       |       17.75        |
|  2   | 128  |   4   | 16  |   [2, 128]   |  1   |  1  | bf16  |       89.84       |       89.0       |      90.77       |        5.94        |
|  8   | 128  |   4   | 16  |   [8, 128]   |  1   |  1  | bf16  |       89.88       |      88.96       |      90.26       |        9.87        |
| 128  | 128  |   4   | 16  |  [128, 128]  |  1   |  1  | bf16  |       89.26       |      88.63       |      90.32       |       17.74        |
| 1024 | 128  |   4   | 16  | [1024, 128]  |  1   |  1  | bf16  |       89.0        |      87.43       |      90.18       |       33.48        |
| 4096 | 128  |   4   | 16  | [4096, 128]  |  1   |  1  | bf16  |       89.42       |      88.76       |      89.89       |        9.87        |
|  1   | 1024 |   4   | 16  |  [1, 1024]   |  1   |  1  | bf16  |       89.6        |       89.2       |      90.12       |       17.73        |
|  2   | 1024 |   4   | 16  |  [2, 1024]   |  1   |  1  | bf16  |       88.77       |      87.89       |      89.27       |       33.47        |
|  8   | 1024 |   4   | 16  |  [8, 1024]   |  1   |  1  | bf16  |       89.43       |      88.63       |      90.12       |       64.94        |
| 128  | 1024 |   4   | 16  | [128, 1024]  |  1   |  1  | bf16  |       89.32       |      88.69       |      89.92       |       17.73        |
| 1024 | 1024 |   4   | 16  | [1024, 1024] |  1   |  1  | bf16  |       89.67       |      88.96       |       91.0       |       33.46        |
