Test Case: L40S_aten_slice
|   M   |  N   |  B  | dim | end | start | step |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 4096  | 768  | N/A |  0  | -1  |   0   |  1   |   [[4096, 768]]    | bf16  |       1.4        |       1.42        |       1.45       |        11.1        | 0.00e+00 | 3.15e+06 |        0%        |    520.13%    |
| 8192  | 768  | N/A |  0  | -1  |   0   |  1   |   [[8192, 768]]    | bf16  |       1.42       |       1.43        |       1.45       |        20.2        | 0.00e+00 | 6.29e+06 |        0%        |    1025.6%    |
| 16384 | 768  | N/A |  0  | -1  |   0   |  1   |   [[16384, 768]]   | bf16  |       1.42       |       1.45        |       1.48       |       38.41        | 0.00e+00 | 1.26e+07 |        0%        |   2051.21%    |
| 32768 | 768  | N/A |  0  | -1  |   0   |  1   |   [[32768, 768]]   | bf16  |       1.39       |       1.42        |       1.47       |       74.82        | 0.00e+00 | 2.52e+07 |        0%        |   4190.95%    |
|  32   | 2048 | N/A |  0  | -1  |   0   |  1   |    [[32, 2048]]    | bf16  |       1.39       |       1.42        |       1.43       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.91%     |
|  64   | 2048 | N/A |  0  | -1  |   0   |  1   |    [[64, 2048]]    | bf16  |       1.39       |       1.41        |       1.44       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.83%     |
|  128  | 2048 | N/A |  0  | -1  |   0   |  1   |   [[128, 2048]]    | bf16  |       1.42       |       1.44        |       1.45       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    42.73%     |
|  256  | 2048 | N/A |  0  | -1  |   0   |  1   |   [[256, 2048]]    | bf16  |       1.41       |       1.44        |       1.47       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    86.07%     |
|  512  | 2048 | N/A |  0  | -1  |   0   |  1   |   [[512, 2048]]    | bf16  |       1.41       |       1.43        |       1.46       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    172.15%    |
| 1024  | 2048 | N/A |  0  | -1  |   0   |  1   |   [[1024, 2048]]   | bf16  |       1.39       |       1.42        |       1.45       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    349.25%    |
| 2048  | 2048 | N/A |  0  | -1  |   0   |  1   |   [[2048, 2048]]   | bf16  |       1.4        |       1.43        |       1.45       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    693.5%     |
| 4096  | 2048 | N/A |  0  | -1  |   0   |  1   |   [[4096, 2048]]   | bf16  |       1.38       |       1.42        |       1.47       |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |   1407.11%    |
| 8192  | 2048 | N/A |  0  | -1  |   0   |  1   |   [[8192, 2048]]   | bf16  |       1.39       |       1.42        |       1.47       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |   2793.97%    |
| 16384 | 2048 | N/A |  0  | -1  |   0   |  1   |  [[16384, 2048]]   | bf16  |       1.4        |       1.42        |       1.44       |       99.09        | 0.00e+00 | 3.36e+07 |        0%        |   5548.02%    |
| 32768 | 2048 | N/A |  0  | -1  |   0   |  1   |  [[32768, 2048]]   | bf16  |       1.39       |       1.43        |       1.49       |       196.18       | 0.00e+00 | 6.71e+07 |        0%        |   11175.87%   |
|  32   | 3072 | N/A |  0  | -1  |   0   |  1   |    [[32, 3072]]    | bf16  |       1.4        |       1.43        |       1.48       |        2.28        | 0.00e+00 | 9.83e+04 |        0%        |    16.25%     |
|  64   | 3072 | N/A |  0  | -1  |   0   |  1   |    [[64, 3072]]    | bf16  |       1.37       |        1.4        |       1.45       |        2.57        | 0.00e+00 | 1.97e+05 |        0%        |    33.22%     |
|  128  | 3072 | N/A |  0  | -1  |   0   |  1   |   [[128, 3072]]    | bf16  |       1.4        |       1.43        |       1.48       |        3.14        | 0.00e+00 | 3.93e+05 |        0%        |    65.02%     |
|  256  | 3072 | N/A |  0  | -1  |   0   |  1   |   [[256, 3072]]    | bf16  |       1.43       |       1.44        |       1.46       |        4.28        | 0.00e+00 | 7.86e+05 |        0%        |    127.3%     |
|  512  | 3072 | N/A |  0  | -1  |   0   |  1   |   [[512, 3072]]    | bf16  |       1.41       |       1.44        |       1.48       |        6.55        | 0.00e+00 | 1.57e+06 |        0%        |    258.22%    |
| 1024  | 3072 | N/A |  0  | -1  |   0   |  1   |   [[1024, 3072]]   | bf16  |       1.41       |       1.43        |       1.45       |        11.1        | 0.00e+00 | 3.15e+06 |        0%        |    516.44%    |
| 2048  | 3072 | N/A |  0  | -1  |   0   |  1   |   [[2048, 3072]]   | bf16  |       1.41       |       1.45        |       1.48       |        20.2        | 0.00e+00 | 6.29e+06 |        0%        |   1032.88%    |
| 4096  | 3072 | N/A |  0  | -1  |   0   |  1   |   [[4096, 3072]]   | bf16  |       1.42       |       1.49        |       1.56       |       38.41        | 0.00e+00 | 1.26e+07 |        0%        |   2051.21%    |
| 8192  | 3072 | N/A |  0  | -1  |   0   |  1   |   [[8192, 3072]]   | bf16  |       1.38       |       1.42        |       1.44       |       74.82        | 0.00e+00 | 2.52e+07 |        0%        |   4221.32%    |
| 16384 | 3072 | N/A |  0  | -1  |   0   |  1   |  [[16384, 3072]]   | bf16  |       1.43       |       1.44        |       1.46       |       147.64       | 0.00e+00 | 5.03e+07 |        0%        |   8147.44%    |
| 32768 | 3072 | N/A |  0  | -1  |   0   |  1   |  [[32768, 3072]]   | bf16  |       1.39       |       1.42        |       1.45       |       293.27       | 0.00e+00 | 1.01e+08 |        0%        |   16763.8%    |
|  32   | 4096 | N/A |  0  | -1  |   0   |  1   |    [[32, 4096]]    | bf16  |       1.41       |       1.42        |       1.43       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.52%     |
|  64   | 4096 | N/A |  0  | -1  |   0   |  1   |    [[64, 4096]]    | bf16  |       1.4        |       1.43        |       1.46       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    43.34%     |
|  128  | 4096 | N/A |  0  | -1  |   0   |  1   |   [[128, 4096]]    | bf16  |       1.42       |       1.45        |       1.47       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    85.47%     |
|  256  | 4096 | N/A |  0  | -1  |   0   |  1   |   [[256, 4096]]    | bf16  |       1.37       |       1.41        |       1.43       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    177.17%    |
|  512  | 4096 | N/A |  0  | -1  |   0   |  1   |   [[512, 4096]]    | bf16  |       1.4        |       1.42        |       1.48       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    346.75%    |
| 1024  | 4096 | N/A |  0  | -1  |   0   |  1   |   [[1024, 4096]]   | bf16  |       1.4        |       1.43        |       1.48       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    693.5%     |
| 2048  | 4096 | N/A |  0  | -1  |   0   |  1   |   [[2048, 4096]]   | bf16  |       1.39       |       1.42        |       1.46       |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |   1396.98%    |
| 4096  | 4096 | N/A |  0  | -1  |   0   |  1   |   [[4096, 4096]]   | bf16  |       1.41       |       1.43        |       1.45       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |   2754.34%    |
| 8192  | 4096 | N/A |  0  | -1  |   0   |  1   |   [[8192, 4096]]   | bf16  |       1.4        |       1.43        |       1.47       |       99.09        | 0.00e+00 | 3.36e+07 |        0%        |   5548.02%    |
| 16384 | 4096 | N/A |  0  | -1  |   0   |  1   |  [[16384, 4096]]   | bf16  |       1.38       |       1.42        |       1.46       |       196.18       | 0.00e+00 | 6.71e+07 |        0%        |   11256.85%   |
| 32768 | 4096 | N/A |  0  | -1  |   0   |  1   |  [[32768, 4096]]   | bf16  |       1.39       |       1.44        |       1.48       |       390.36       | 0.00e+00 | 1.34e+08 |        0%        |   22351.74%   |
|  32   | 8192 | N/A |  0  | -1  |   0   |  1   |    [[32, 8192]]    | bf16  |       1.39       |       1.42        |       1.45       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    43.66%     |
|  64   | 8192 | N/A |  0  | -1  |   0   |  1   |    [[64, 8192]]    | bf16  |       1.41       |       1.43        |       1.48       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    86.07%     |
|  128  | 8192 | N/A |  0  | -1  |   0   |  1   |   [[128, 8192]]    | bf16  |       1.4        |       1.44        |       1.5        |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    173.38%    |
|  256  | 8192 | N/A |  0  | -1  |   0   |  1   |   [[256, 8192]]    | bf16  |       1.36       |       1.41        |       1.46       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    356.95%    |
|  512  | 8192 | N/A |  0  | -1  |   0   |  1   |   [[512, 8192]]    | bf16  |       1.4        |       1.44        |       1.49       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    693.5%     |
| 1024  | 8192 | N/A |  0  | -1  |   0   |  1   |   [[1024, 8192]]   | bf16  |       1.4        |       1.42        |       1.45       |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |   1387.01%    |
| 2048  | 8192 | N/A |  0  | -1  |   0   |  1   |   [[2048, 8192]]   | bf16  |       1.39       |       1.43        |       1.47       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |   2793.97%    |
| 4096  | 8192 | N/A |  0  | -1  |   0   |  1   |   [[4096, 8192]]   | bf16  |       1.51       |       1.58        |       1.81       |       99.09        | 0.00e+00 | 3.36e+07 |        0%        |   5143.86%    |
| 8192  | 8192 | N/A |  0  | -1  |   0   |  1   |   [[8192, 8192]]   | bf16  |       1.41       |       1.43        |       1.47       |       196.18       | 0.00e+00 | 6.71e+07 |        0%        |   11017.35%   |
| 16384 | 8192 | N/A |  0  | -1  |   0   |  1   |  [[16384, 8192]]   | bf16  |       1.41       |       1.43        |       1.45       |       390.36       | 0.00e+00 | 1.34e+08 |        0%        |   22034.69%   |
| 32768 | 8192 | N/A |  0  | -1  |   0   |  1   |  [[32768, 8192]]   | bf16  |       0.55       |       1.29        |       1.44       |       778.72       | 0.00e+00 | 2.68e+08 |        0%        |  112977.89%   |
|  32   |  32  | N/A |  0  | -1  |   1   |  1   |     [[32, 32]]     | bf16  |       1.39       |       1.43        |       1.47       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.17%     |
|  64   |  32  | N/A |  0  | -1  |   1   |  1   |     [[64, 32]]     | bf16  |       1.38       |       1.41        |       1.45       |        2.01        | 0.00e+00 | 2.05e+03 |        0%        |     0.34%     |
|  128  |  32  | N/A |  0  | -1  |   1   |  1   |    [[128, 32]]     | bf16  |       1.39       |       1.42        |       1.44       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.68%     |
|  256  |  32  | N/A |  0  | -1  |   1   |  1   |    [[256, 32]]     | bf16  |       1.4        |       1.43        |       1.48       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.35%     |
|  512  |  32  | N/A |  0  | -1  |   1   |  1   |    [[512, 32]]     | bf16  |       1.38       |       1.39        |       1.41       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.75%     |
| 1024  |  32  | N/A |  0  | -1  |   1   |  1   |    [[1024, 32]]    | bf16  |       1.4        |       1.44        |       1.49       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.42%     |
| 2048  |  32  | N/A |  0  | -1  |   1   |  1   |    [[2048, 32]]    | bf16  |       1.4        |       1.41        |       1.43       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.84%     |
| 4096  |  32  | N/A |  0  | -1  |   1   |  1   |    [[4096, 32]]    | bf16  |       1.39       |       1.43        |       1.49       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.83%     |
| 8192  |  32  | N/A |  0  | -1  |   1   |  1   |    [[8192, 32]]    | bf16  |       1.39       |       1.43        |       1.47       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    43.66%     |
| 16384 |  32  | N/A |  0  | -1  |   1   |  1   |   [[16384, 32]]    | bf16  |       1.38       |        1.4        |       1.42       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    87.94%     |
| 32768 |  32  | N/A |  0  | -1  |   1   |  1   |   [[32768, 32]]    | bf16  |       1.41       |       1.44        |       1.47       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    172.15%    |
|  32   |  64  | N/A |  0  | -1  |   1   |  1   |     [[32, 64]]     | bf16  |       1.41       |       1.44        |       1.46       |        2.01        | 0.00e+00 | 2.05e+03 |        0%        |     0.34%     |
|  64   |  64  | N/A |  0  | -1  |   1   |  1   |     [[64, 64]]     | bf16  |       1.4        |       1.44        |       1.49       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.68%     |
|  128  |  64  | N/A |  0  | -1  |   1   |  1   |    [[128, 64]]     | bf16  |       1.4        |       1.41        |       1.43       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.35%     |
|  256  |  64  | N/A |  0  | -1  |   1   |  1   |    [[256, 64]]     | bf16  |       1.41       |       1.44        |       1.5        |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.69%     |
|  512  |  64  | N/A |  0  | -1  |   1   |  1   |    [[512, 64]]     | bf16  |       1.41       |       1.43        |       1.46       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.38%     |
| 1024  |  64  | N/A |  0  | -1  |   1   |  1   |    [[1024, 64]]    | bf16  |       1.39       |       1.41        |       1.43       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.91%     |
| 2048  |  64  | N/A |  0  | -1  |   1   |  1   |    [[2048, 64]]    | bf16  |       1.41       |       1.44        |       1.5        |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.52%     |
| 4096  |  64  | N/A |  0  | -1  |   1   |  1   |    [[4096, 64]]    | bf16  |       1.41       |       1.44        |       1.47       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    43.04%     |
| 8192  |  64  | N/A |  0  | -1  |   1   |  1   |    [[8192, 64]]    | bf16  |       1.41       |       1.44        |       1.47       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    86.07%     |
| 16384 |  64  | N/A |  0  | -1  |   1   |  1   |   [[16384, 64]]    | bf16  |       1.4        |       1.42        |       1.45       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    173.38%    |
| 32768 |  64  | N/A |  0  | -1  |   1   |  1   |   [[32768, 64]]    | bf16  |       1.47       |        1.5        |       1.55       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    330.24%    |
|  32   | 128  | N/A |  0  | -1  |   1   |  1   |    [[32, 128]]     | bf16  |       1.43       |       1.48        |       1.53       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.66%     |
|  64   | 128  | N/A |  0  | -1  |   1   |  1   |    [[64, 128]]     | bf16  |       1.4        |       1.45        |       1.49       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.35%     |
|  128  | 128  | N/A |  0  | -1  |   1   |  1   |    [[128, 128]]    | bf16  |       1.41       |       1.44        |       1.47       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.69%     |
|  256  | 128  | N/A |  0  | -1  |   1   |  1   |    [[256, 128]]    | bf16  |       1.44       |       1.48        |       1.52       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.27%     |
|  512  | 128  | N/A |  0  | -1  |   1   |  1   |    [[512, 128]]    | bf16  |       1.41       |       1.44        |       1.47       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.76%     |
| 1024  | 128  | N/A |  0  | -1  |   1   |  1   |   [[1024, 128]]    | bf16  |       1.35       |        1.4        |       1.44       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    22.47%     |
| 2048  | 128  | N/A |  0  | -1  |   1   |  1   |   [[2048, 128]]    | bf16  |       1.39       |       1.41        |       1.44       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    43.66%     |
| 4096  | 128  | N/A |  0  | -1  |   1   |  1   |   [[4096, 128]]    | bf16  |       1.38       |       1.41        |       1.44       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    87.94%     |
| 8192  | 128  | N/A |  0  | -1  |   1   |  1   |   [[8192, 128]]    | bf16  |       1.41       |       1.44        |       1.52       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    172.15%    |
| 16384 | 128  | N/A |  0  | -1  |   1   |  1   |   [[16384, 128]]   | bf16  |       1.41       |       1.44        |       1.51       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    344.29%    |
| 32768 | 128  | N/A |  0  | -1  |   1   |  1   |   [[32768, 128]]   | bf16  |       1.41       |       1.43        |       1.46       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    688.58%    |
|  32   | 512  | N/A |  0  | -1  |   1   |  1   |    [[32, 512]]     | bf16  |       1.4        |       1.43        |       1.46       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.71%     |
|  64   | 512  | N/A |  0  | -1  |   1   |  1   |    [[64, 512]]     | bf16  |       1.38       |       1.46        |       1.6        |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.5%      |
|  128  | 512  | N/A |  0  | -1  |   1   |  1   |    [[128, 512]]    | bf16  |       1.38       |       1.42        |       1.44       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.99%     |
|  256  | 512  | N/A |  0  | -1  |   1   |  1   |    [[256, 512]]    | bf16  |       1.4        |       1.44        |       1.52       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.67%     |
|  512  | 512  | N/A |  0  | -1  |   1   |  1   |    [[512, 512]]    | bf16  |       1.38       |       1.41        |       1.46       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    43.97%     |
| 1024  | 512  | N/A |  0  | -1  |   1   |  1   |   [[1024, 512]]    | bf16  |       1.38       |       1.42        |       1.45       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    87.94%     |
| 2048  | 512  | N/A |  0  | -1  |   1   |  1   |   [[2048, 512]]    | bf16  |       1.38       |       1.42        |       1.46       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    175.89%    |
| 4096  | 512  | N/A |  0  | -1  |   1   |  1   |   [[4096, 512]]    | bf16  |       1.38       |       1.43        |       1.46       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    351.78%    |
| 8192  | 512  | N/A |  0  | -1  |   1   |  1   |   [[8192, 512]]    | bf16  |       1.4        |       1.44        |       1.48       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    693.5%     |
| 16384 | 512  | N/A |  0  | -1  |   1   |  1   |   [[16384, 512]]   | bf16  |       1.41       |       1.43        |       1.46       |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |   1377.17%    |
| 32768 | 512  | N/A |  0  | -1  |   1   |  1   |   [[32768, 512]]   | bf16  |       1.39       |       1.42        |       1.48       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |   2793.97%    |
|  32   | 768  | N/A |  0  | -1  |   1   |  1   |    [[32, 768]]     | bf16  |       1.38       |       1.42        |       1.45       |        2.07        | 0.00e+00 | 2.46e+04 |        0%        |     4.12%     |
|  64   | 768  | N/A |  0  | -1  |   1   |  1   |    [[64, 768]]     | bf16  |       2.09       |        2.2        |       2.27       |        2.14        | 0.00e+00 | 4.92e+04 |        0%        |     5.44%     |
|  128  | 768  | N/A |  0  | -1  |   1   |  1   |    [[128, 768]]    | bf16  |       1.42       |       1.43        |       1.48       |        2.28        | 0.00e+00 | 9.83e+04 |        0%        |    16.03%     |
|  256  | 768  | N/A |  0  | -1  |   1   |  1   |    [[256, 768]]    | bf16  |       1.42       |       1.44        |       1.46       |        2.57        | 0.00e+00 | 1.97e+05 |        0%        |    32.05%     |
|  512  | 768  | N/A |  0  | -1  |   1   |  1   |    [[512, 768]]    | bf16  |       1.4        |       1.43        |       1.46       |        3.14        | 0.00e+00 | 3.93e+05 |        0%        |    65.02%     |
| 1024  | 768  | N/A |  0  | -1  |   1   |  1   |   [[1024, 768]]    | bf16  |       1.41       |       1.43        |       1.46       |        4.28        | 0.00e+00 | 7.86e+05 |        0%        |    129.11%    |
| 2048  | 768  | N/A |  0  | -1  |   1   |  1   |   [[2048, 768]]    | bf16  |       1.39       |       1.43        |       1.5        |        6.55        | 0.00e+00 | 1.57e+06 |        0%        |    261.93%    |
| 4096  | 768  | N/A |  0  | -1  |   1   |  1   |   [[4096, 768]]    | bf16  |       2.36       |       2.49        |       2.6        |        11.1        | 0.00e+00 | 3.15e+06 |        0%        |    308.55%    |
| 8192  | 768  | N/A |  0  | -1  |   1   |  1   |   [[8192, 768]]    | bf16  |       1.4        |       1.43        |       1.46       |        20.2        | 0.00e+00 | 6.29e+06 |        0%        |   1040.25%    |
| 16384 | 768  | N/A |  0  | -1  |   1   |  1   |   [[16384, 768]]   | bf16  |       1.4        |       1.44        |       1.48       |       38.41        | 0.00e+00 | 1.26e+07 |        0%        |   2080.51%    |
| 32768 | 768  | N/A |  0  | -1  |   1   |  1   |   [[32768, 768]]   | bf16  |       1.41       |       1.45        |       1.5        |       74.82        | 0.00e+00 | 2.52e+07 |        0%        |   4131.51%    |
|  32   | 2048 | N/A |  0  | -1  |   1   |  1   |    [[32, 2048]]    | bf16  |       1.41       |       1.43        |       1.46       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.76%     |
|  64   | 2048 | N/A |  0  | -1  |   1   |  1   |    [[64, 2048]]    | bf16  |       1.77       |       1.81        |       1.84       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    17.14%     |
|  128  | 2048 | N/A |  0  | -1  |   1   |  1   |   [[128, 2048]]    | bf16  |       1.35       |        1.4        |       1.44       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    44.95%     |
|  256  | 2048 | N/A |  0  | -1  |   1   |  1   |   [[256, 2048]]    | bf16  |       1.4        |       1.44        |       1.51       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    86.69%     |
|  512  | 2048 | N/A |  0  | -1  |   1   |  1   |   [[512, 2048]]    | bf16  |       1.4        |       1.42        |       1.45       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    173.38%    |
| 1024  | 2048 | N/A |  0  | -1  |   1   |  1   |   [[1024, 2048]]   | bf16  |       1.43       |       1.45        |       1.5        |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    339.48%    |
| 2048  | 2048 | N/A |  0  | -1  |   1   |  1   |   [[2048, 2048]]   | bf16  |       0.33       |       1.26        |       1.43       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |   2942.13%    |
| 4096  | 2048 | N/A |  0  | -1  |   1   |  1   |   [[4096, 2048]]   | bf16  |       1.42       |       1.46        |       1.49       |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |   1367.47%    |
| 8192  | 2048 | N/A |  0  | -1  |   1   |  1   |   [[8192, 2048]]   | bf16  |       1.37       |       1.42        |       1.44       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |   2834.76%    |
| 16384 | 2048 | N/A |  0  | -1  |   1   |  1   |  [[16384, 2048]]   | bf16  |       1.42       |       1.44        |       1.46       |       99.09        | 0.00e+00 | 3.36e+07 |        0%        |   5469.88%    |
| 32768 | 2048 | N/A |  0  | -1  |   1   |  1   |  [[32768, 2048]]   | bf16  |       1.39       |       1.41        |       1.46       |       196.18       | 0.00e+00 | 6.71e+07 |        0%        |   11175.87%   |
|  32   | 3072 | N/A |  0  | -1  |   1   |  1   |    [[32, 3072]]    | bf16  |       1.39       |       1.42        |       1.45       |        2.28        | 0.00e+00 | 9.83e+04 |        0%        |    16.37%     |
|  64   | 3072 | N/A |  0  | -1  |   1   |  1   |    [[64, 3072]]    | bf16  |       1.4        |       1.43        |       1.46       |        2.57        | 0.00e+00 | 1.97e+05 |        0%        |    32.51%     |
|  128  | 3072 | N/A |  0  | -1  |   1   |  1   |   [[128, 3072]]    | bf16  |       0.24       |       1.24        |       1.43       |        3.14        | 0.00e+00 | 3.93e+05 |        0%        |    379.26%    |
|  256  | 3072 | N/A |  0  | -1  |   1   |  1   |   [[256, 3072]]    | bf16  |       1.38       |       1.42        |       1.46       |        4.28        | 0.00e+00 | 7.86e+05 |        0%        |    131.92%    |
|  512  | 3072 | N/A |  0  | -1  |   1   |  1   |   [[512, 3072]]    | bf16  |       1.4        |       1.42        |       1.44       |        6.55        | 0.00e+00 | 1.57e+06 |        0%        |    260.06%    |
| 1024  | 3072 | N/A |  0  | -1  |   1   |  1   |   [[1024, 3072]]   | bf16  |       1.38       |       1.42        |       1.48       |        11.1        | 0.00e+00 | 3.15e+06 |        0%        |    527.67%    |
| 2048  | 3072 | N/A |  0  | -1  |   1   |  1   |   [[2048, 3072]]   | bf16  |       1.42       |       1.46        |       1.56       |        20.2        | 0.00e+00 | 6.29e+06 |        0%        |    1025.6%    |
| 4096  | 3072 | N/A |  0  | -1  |   1   |  1   |   [[4096, 3072]]   | bf16  |       1.4        |       1.41        |       1.43       |       38.41        | 0.00e+00 | 1.26e+07 |        0%        |   2080.51%    |
| 8192  | 3072 | N/A |  0  | -1  |   1   |  1   |   [[8192, 3072]]   | bf16  |       1.4        |       1.45        |       1.5        |       74.82        | 0.00e+00 | 2.52e+07 |        0%        |   4161.02%    |
| 16384 | 3072 | N/A |  0  | -1  |   1   |  1   |  [[16384, 3072]]   | bf16  |       1.39       |       1.41        |       1.43       |       147.64       | 0.00e+00 | 5.03e+07 |        0%        |    8381.9%    |
| 32768 | 3072 | N/A |  0  | -1  |   1   |  1   |  [[32768, 3072]]   | bf16  |       1.43       |       1.46        |       1.55       |       293.27       | 0.00e+00 | 1.01e+08 |        0%        |   16294.89%   |
|  32   | 4096 | N/A |  0  | -1  |   1   |  1   |    [[32, 4096]]    | bf16  |       0.68       |       1.31        |       1.45       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    44.62%     |
|  64   | 4096 | N/A |  0  | -1  |   1   |  1   |    [[64, 4096]]    | bf16  |       1.39       |       1.42        |       1.49       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    43.66%     |
|  128  | 4096 | N/A |  0  | -1  |   1   |  1   |   [[128, 4096]]    | bf16  |       1.4        |       1.43        |       1.45       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    86.69%     |
|  256  | 4096 | N/A |  0  | -1  |   1   |  1   |   [[256, 4096]]    | bf16  |       1.4        |       1.42        |       1.45       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    173.38%    |
|  512  | 4096 | N/A |  0  | -1  |   1   |  1   |   [[512, 4096]]    | bf16  |       1.39       |       1.42        |       1.45       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    349.25%    |
| 1024  | 4096 | N/A |  0  | -1  |   1   |  1   |   [[1024, 4096]]   | bf16  |       1.43       |       1.45        |       1.47       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    678.95%    |
| 2048  | 4096 | N/A |  0  | -1  |   1   |  1   |   [[2048, 4096]]   | bf16  |       1.39       |       1.42        |       1.47       |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |   1396.98%    |
| 4096  | 4096 | N/A |  0  | -1  |   1   |  1   |   [[4096, 4096]]   | bf16  |       1.38       |       1.42        |       1.46       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |   2814.21%    |
| 8192  | 4096 | N/A |  0  | -1  |   1   |  1   |   [[8192, 4096]]   | bf16  |       1.39       |       1.41        |       1.42       |       99.09        | 0.00e+00 | 3.36e+07 |        0%        |   5587.93%    |
| 16384 | 4096 | N/A |  0  | -1  |   1   |  1   |  [[16384, 4096]]   | bf16  |       1.42       |       1.46        |       1.47       |       196.18       | 0.00e+00 | 6.71e+07 |        0%        |   10939.76%   |
